Month,Year,State,retail_revenue,internet_revenue,internet_handle,retail_handle,retail_hold,internet_hold,total_revenue,total_handle,internet_revenue_per,internet_handle_per,retail_revenue_per,retail_handle_per,total_hold
October,2020,RI,2401665.0,1987176.0,15369112.0,19335301.0,0.1242114100008063,0.12929673490569918,4388841.0,34704413.0,0.4527792189327433,0.4428575697275156,0.5472207810672567,0.5571424302724843,
November,2020,RI,3676276.0,2605045.0,15699743.0,19398702.0,0.1895114425697142,0.1659291492860743,6281321.0,35098445.0,0.41472884445803676,0.4473059419014147,0.5852711555419632,0.5526940580985853,
November,2020,TN,0.0,13224908.0,131444523.0,0.0,,0.10061208864518456,13224908.0,131444523.0,1.0,1.0,0.0,0.0,
January,2020,IN,4690501.0,7098653.0,123372845.0,41245575.0,0.1137213143470542,0.05753821272420199,11789154.0,164618420.0,0.6021342159072652,0.7494473886944122,0.3978657840927347,0.2505526113055878,0.07161503554705483
January,2019,NJ,1681369.3333333335,9993336.666666666,0.0,0.0,,,11674706.0,0.0,0.8559818694078177,,0.14401813059218224,,
January,2020,NJ,6665184.5,45672206.0,0.0,0.0,,,52337390.5,0.0,0.8726496595201857,,0.12735034047981433,,
January,2020,PA,4918306.0,17922886.0,308605690.0,39776019.0,0.12365003144231201,0.05807697842512236,22841192.0,348381709.0,0.7846738471442296,0.8858263279258441,0.2153261528557704,0.11417367207415588,0.06556369467720821
January,2020,WV,1232316.0,970874.0,19738097.0,15660302.0,0.07869043649349802,0.04918782190603278,2203190.0,35398399.0,0.4406673959122908,0.5575985795289782,0.5593326040877092,0.4424014204710219,0.062239820507136494
February,2019,NJ,-581007.3333333333,6918924.999999999,0.0,0.0,,,6337917.666666666,0.0,1.0916716442040664,,-0.09167164420406639,,
February,2020,NJ,1065906.0,15935022.0,0.0,0.0,,,17000928.0,0.0,0.9373030695736139,,0.06269693042638613,,
February,2020,PA,628523.0,4093728.0,294127503.0,35638280.0,0.017636176605604983,0.013918208798039535,4722251.0,329765783.0,0.8669018228806559,0.8919285085438958,0.13309817711934413,0.10807149145610416,0.014320015124188916
February,2020,WV,177719.0,643899.0,32314731.0,16159438.0,0.01099784534585918,0.019925866008292006,821618.0,48474169.0,0.7836963162929731,0.6666381635134374,0.21630368370702688,0.3333618364865626,0.016949604644073423
March,2020,IN,413405.0,4664319.0,60797614.0,11668824.0,0.03542816311223822,0.07671878373384851,5077724.0,72466438.0,0.9185845863225335,0.8389761616267105,0.08141541367746652,0.16102383837328943,0.07007000951254151
March,2019,NJ,4813023.5,16880425.5,0.0,0.0,,,21693449.0,0.0,0.7781347032461274,,0.22186529675387257,,
March,2020,NJ,-98133.0,13279234.0,0.0,0.0,,,13181101.0,0.0,1.0074449774719123,,-0.007444977471912247,,
March,2020,PA,657566.0,6231688.0,118332821.0,12997237.0,0.05059275290586761,0.05266238011853026,6889254.0,131330058.0,0.904551929715467,0.9010337983708193,0.09544807028453299,0.09896620162918073,0.052457556974504646
March,2020,WV,17364.0,1084091.0,10232153.0,4473147.0,0.003881830845263972,0.10594945169408627,1101455.0,14705300.0,0.9842353977239198,0.695813958232746,0.015764602276080276,0.304186041767254,0.07490190611548217
April,2020,IN,-442.0,1629997.0,26304128.0,0.0,,0.06196734596182014,1629555.0,26304128.0,1.0002712396942723,1.0,-0.0002712396942723627,0.0,0.0619505425156082
April,2019,NJ,2941099.5,12177850.5,0.0,0.0,,,15118950.0,0.0,0.8054693282271587,,0.19453067177284136,,
April,2020,NJ,-47821.0,2681871.0,0.0,0.0,,,2634050.0,0.0,1.0181549325183652,,-0.018154932518365256,,
April,2020,PA,-23162.0,2906631.0,46015988.0,0.0,,0.06316567624278761,2883469.0,46015988.0,1.008032685629705,1.0,-0.008032685629705053,0.0,0.06266232944949482
April,2020,WV,0.0,124416.0,1901698.0,0.0,,0.06542363719160456,124416.0,1901698.0,1.0,1.0,0.0,0.0,0.06542363719160456
May,2020,IN,-341.0,3237372.0,37334940.0,0.0,,0.0867115897333704,3237031.0,37334940.0,1.0001053434458922,1.0,-0.0001053434458922389,0.0,0.08670245619786719
May,2019,NJ,862469.6666666667,7925110.333333333,0.0,0.0,,,8787580.0,0.0,0.9018535630211427,,0.09814643697885729,,
May,2020,NJ,-164722.0,10076784.0,0.0,0.0,,,9912062.0,0.0,1.016618338343727,,-0.016618338343727068,,
May,2020,PA,-2512.0,4831500.0,77510033.0,0.0,,0.062333865862242634,4828988.0,77510033.0,1.0005201918083044,1.0,-0.0005201918083043486,0.0,0.06230145715458539
May,2020,WV,0.0,571831.0,6035531.0,0.0,,0.0947441078506597,571831.0,6035531.0,1.0,1.0,0.0,0.0,0.0947441078506597
June,2020,IN,-225074.0,2768877.0,29149096.0,634486.0,-0.3547343834221717,0.09499014995182012,2543803.0,29783582.0,1.0884793358605207,0.9786967867061792,-0.08847933586052065,0.021303213293820737,0.08540957229388997
June,2019,NJ,2900523.333333333,6144687.0,0.0,0.0,,,9045210.333333332,0.0,0.6793304714380882,,0.32066952856191183,,
June,2020,NJ,-134261.0,12773543.0,0.0,0.0,,,12639282.0,0.0,1.0106225179563206,,-0.01062251795632062,,
June,2020,PA,-99272.0,6759426.0,88313030.0,689533.0,-0.14396990426854117,0.07653939628161326,6660154.0,89002563.0,1.014905361047207,0.9922526613081918,-0.014905361047207017,0.007747338691808235,0.07483103604555748
June,2020,WV,-106388.0,674224.0,5742050.0,596569.0,-0.1783331014518019,0.11741869193058228,567836.0,6338619.0,1.1873569129114745,0.9058834424343851,-0.18735691291147444,0.09411655756561485,0.0895835512435753
