Month,Year,State,retail_revenue,internet_revenue,internet_handle,retail_handle,retail_hold,internet_hold,total_revenue,total_handle,internet_revenue_per,internet_handle_per,retail_revenue_per,retail_handle_per,total_hold
September,2019,NJ,8455063.0,29500108.0,0.0,0.0,,,37955171.0,0.0,0.7772355445322588,,0.22276445546774115,,
September,2020,NJ,5353532.5,39710924.0,0.0,0.0,,,45064456.5,0.0,0.8812027723001608,,0.11879722769983923,,
September,2019,PA,5619353.0,9269519.0,158154361.0,36350259.0,0.15458907734330035,0.05861058108919298,14888872.0,194504620.0,0.6225803405388938,0.8131136473776304,0.3774196594611062,0.18688635262236958,0.07654765218430287
September,2020,PA,4214466.166666667,515768.5,391930462.0,37964713.833333336,0.11101008650212267,0.001315969412961833,4730234.666666667,429895175.8333333,0.10903655660776237,0.9116884394905331,0.8909634433922377,0.08831156050946692,0.01100322807181381
September,2019,WV,2721698.0,1034065.0,9064093.0,16555985.0,0.16439360146798876,0.1140836705889933,3755763.0,25620078.0,0.2753275432981261,0.35378865747403265,0.7246724567018739,0.6462113425259673,0.14659451856469757
September,2020,WV,2252931.0,1866611.0,50982781.0,13450680.0,0.16749569538491735,0.036612577097353716,4119542.0,64433461.0,0.45311129246892007,0.791246973369939,0.5468887075310799,0.20875302663006104,0.06393482417466291
October,2020,IA,2489862.0,2677955.0,50010623.0,22386619.0,0.11122099321920831,0.05354772325071815,5167817.0,72397242.0,0.5181984965798905,0.6907807758754125,0.4818015034201095,0.3092192241245875,0.07138140704310256
October,2020,IL,3170850.0599999996,39930062.419999994,406394286.28,24305905.979999997,0.13045595019618356,0.09825448774269611,43100912.48,430700192.26,0.9264319505655161,0.9435665309261638,0.0735680494344838,0.05643346907383616,0.1000717279781973
October,2019,IN,5400053.0,4185593.0,48014320.0,37104764.0,0.14553530107346863,0.08717384730222151,9585646.0,85119084.0,0.43665215677691416,0.5640840777844837,0.5633478432230858,0.43591592221551634,0.11261453424475291
October,2020,IN,2373699.0,19233642.0,213687911.0,14425667.0,0.16454691488442094,0.09000809596570955,21607341.0,228113578.0,0.8901438636063549,0.9367610331376242,0.10985613639364511,0.0632389668623759,0.09472185386527057
October,2018,NJ,1117326.4166666665,2486974.0,0.0,0.0,,,3604300.4166666665,0.0,0.6900018623586339,,0.30999813764136613,,
October,2019,NJ,7688806.0,38704731.0,0.0,0.0,,,46393537.0,0.0,0.8342698897908991,,0.1657301102091009,,
October,2020,NJ,3237522.0,55166000.0,0.0,0.0,,,58403522.0,0.0,0.9445663225584238,,0.055433677441576214,,
October,2019,PA,4641090.0,10307157.0,198688268.0,42497798.0,0.10920777589464753,0.051876022191707866,14948247.0,241186066.0,0.6895227915353552,0.8237966284503351,0.3104772084646447,0.1762033715496649,0.06197807049102082
October,2020,PA,5517898.5,29011045.5,448547919.0,41607768.833333336,0.13261702452979002,0.06467769500453306,34528944.0,490155687.8333333,0.8401949825051123,0.9151131571740914,0.15980501749488776,0.0848868428259087,0.07044485019164116
October,2019,WV,2746736.0,1826505.0,12674865.0,16296396.0,0.1685486778794526,0.14410449342064,4573241.0,28971261.0,0.39938962324530897,0.4374978707347257,0.6006103767546911,0.5625021292652743,0.15785439922687522
October,2020,WV,1710181.0,2516870.0,34914447.0,22236541.0,0.07690858933500494,0.07208677828980078,4227051.0,57150988.0,0.5954198328811268,0.610915895277261,0.4045801671188732,0.389084104722739,0.07396286832346625
November,2020,IA,2709714.0,6371280.0,56886206.0,25016210.0,0.10831832639716407,0.11200043820816596,9080994.0,81902416.0,0.7016060136148091,0.6945607807222683,0.2983939863851909,0.3054392192777317,0.11087577685132023
November,2019,IN,3637898.0,6431986.0,96205375.0,43399802.0,0.08382291698012816,0.06685682582703929,10069884.0,139605177.0,0.6387348652675642,0.6891246948528277,0.3612651347324358,0.3108753051471723,0.07213116459141053
November,2020,IN,-341.0,3237372.0,37334940.0,0.0,,0.0867115897333704,3237031.0,37334940.0,1.0001053434458922,1.0,-0.0001053434458922389,0.0,0.08670245619786719
November,2018,NJ,2920532.9999999995,9863142.666666668,0.0,0.0,,,12783675.666666668,0.0,0.7715419980799992,,0.22845800192000068,,
November,2019,NJ,5100134.0,27795628.0,0.0,0.0,,,32895762.0,0.0,0.8449607581669639,,0.15503924183303613,,
November,2020,NJ,6080908.333333333,42494639.66666667,0.0,0.0,,,48575548.00000001,0.0,0.874815445554349,,0.12518455444565096,,
November,2019,PA,3294290.0,11426398.0,266740919.0,49727345.0,0.06624705179816055,0.04283706467997885,14720688.0,316468264.0,0.7762135845824597,0.8428678301847038,0.22378641541754027,0.15713216981529624,0.046515526751206876
November,2020,PA,4900093.0,30239151.5,423675914.0,35892728.5,0.1365204932804147,0.07137330799503509,35139244.5,459568642.5,0.8605521242780276,0.9218990914942592,0.13944787572197234,0.0781009085057408,0.07646136235241507
November,2019,WV,143534.0,729110.0,20136030.0,20883687.0,0.006873020075430167,0.03620922296996975,872644.0,41019717.0,0.8355182640343599,0.4908866143567007,0.16448173596564006,0.5091133856432993,0.021273769392411948
November,2020,WV,1932442.0,2475135.0,28410228.0,20122216.0,0.09603524780769673,0.08712126491909886,4407577.0,48532444.0,0.5615636436981135,0.58538630364463,0.4384363563018865,0.41461369635537004,0.09081712431378894
December,2019,IN,3712045.0,7779147.0,110574677.0,44664120.0,0.08311022359782304,0.07035197579641132,11491192.0,155238797.0,0.6769660623545407,0.7122876441769901,0.32303393764545923,0.2877123558230099,0.07402268132752922
December,2018,NJ,2249242.666666666,9401828.666666668,0.0,0.0,,,11651071.333333334,0.0,0.8069497128361358,,0.1930502871638642,,
December,2019,NJ,3933606.0,25491278.0,0.0,0.0,,,29424884.0,0.0,0.8663170260926092,,0.13368297390739076,,
December,2019,PA,2977526.0,8396958.0,297445047.0,45115346.0,0.06599807524472937,0.028230283491659555,11374484.0,342560393.0,0.7382275978409218,0.8682995847684002,0.26177240215907815,0.13170041523159975,0.03320431734791943
December,2019,WV,1240167.0,1082750.0,13975747.0,16366587.0,0.07577431996053911,0.0774734974810291,2322917.0,30342334.0,0.46611652504157486,0.4606022397617797,0.5338834749584251,0.5393977602382203,0.07655696493222967
December,2020,WV,1361624.0,1432426.0,15719795.0,10355921.0,0.13148265615390461,0.09112243512081424,2794050.0,26075716.0,0.5126701383296648,0.6028519025134343,0.48732986167033515,0.39714809748656565,0.10715142011824334
