Name,Freq,Month,Year,Date,State,url_1,url_2,url_3,internet_revenue,retail_revenue,internet_handle,retail_handle,internet_promo,tier_1_internet_wagers,tier_1_internet_handle,tier_1_internet_revenue,tier_2_internet_wagers,tier_2_internet_handle,tier_2_internet_revenue,tier_1_retail_wagers,tier_1_retail_handle,tier_1_retail_revenue,tier_2_retail_wagers,tier_2_retail_handle,tier_2_retail_revenue,internet_hold,retail_hold,retail_betsize,internet_betsize
Rising Star Casino,Monthly,12,2019,2019-12,IN,none,,,,31037.0,,156557.0,,,,,,,,,,,,,,,0.19824728373691372,,
Tropicana Evansville,Monthly,12,2019,2019-12,IN,none,,,,185176.0,,1971301.0,,,,,,,,,,,,,,,0.09393593368034613,,
Harrah's Hoosier Park,Monthly,12,2019,2019-12,IN,none,,,,30240.0,,1724840.0,,,,,,,,,,,,,,,0.017532060944783285,,
Indiana Grand,Monthly,12,2019,2019-12,IN,none,,,,42225.0,,1962423.0,,,,,,,,,,,,,,,0.02151676779165348,,
Ameristar Casino,Monthly,11,2019,2019-11,IN,none,,,,735103.0,,7987097.0,,,,,,,,,,,,,,,0.09203631807651766,,
Blue Chip Casino,Monthly,11,2019,2019-11,IN,none,,,,310955.0,,4469969.0,,,,,,,,,,,,,,,0.06956535940182136,,
Horseshoe Hammond,Monthly,11,2019,2019-11,IN,none,,,,800208.0,,12964573.0,,,,,,,,,,,,,,,0.061722665297191046,,
Belterra Casino,Monthly,11,2019,2019-11,IN,none,,,,92233.0,,920344.0,,,,,,,,,,,,,,,0.10021578887894092,,
Caesars Southern Indiana,Monthly,11,2019,2019-11,IN,none,,,,106081.0,,1414256.0,,,,,,,,,,,,,,,0.07500834360964352,,
French Lick Resort,Monthly,11,2019,2019-11,IN,none,,,,45357.0,,1240659.0,,,,,,,,,,,,,,,0.036558796575046,,
Hollywood Lawrenceburg,Monthly,11,2019,2019-11,IN,none,,,,1149215.0,,8787291.0,,,,,,,,,,,,,,,0.13078148885703228,,
Rising Star Casino,Monthly,11,2019,2019-11,IN,none,,,,18373.0,,110300.0,,,,,,,,,,,,,,,0.16657298277425203,,
Tropicana Evansville,Monthly,11,2019,2019-11,IN,none,,,,174841.0,,2011102.0,,,,,,,,,,,,,,,0.08693790767449885,,
Harrah's Hoosier Park,Monthly,11,2019,2019-11,IN,none,,,,158190.0,,2070814.0,,,,,,,,,,,,,,,0.07639025040394744,,
Indiana Grand,Monthly,11,2019,2019-11,IN,none,,,,47342.0,,1423397.0,,,,,,,,,,,,,,,0.03325987057721774,,
Ameristar Casino,Monthly,10,2019,2019-10,IN,none,,,,1009076.0,,6794757.0,,,,,,,,,,,,,,,0.1485080334734561,,
Blue Chip Casino,Monthly,10,2019,2019-10,IN,none,,,,741048.0,,4553303.0,,,,,,,,,,,,,,,0.16274954686740592,,
Horseshoe Hammond,Monthly,10,2019,2019-10,IN,none,,,,1682353.0,,10680358.0,,,,,,,,,,,,,,,0.15751840902711314,,
Belterra Casino,Monthly,10,2019,2019-10,IN,none,,,,150692.0,,812130.0,,,,,,,,,,,,,,,0.1855515742553532,,
Caesars Southern Indiana,Monthly,10,2019,2019-10,IN,none,,,,128192.0,,1240408.0,,,,,,,,,,,,,,,0.1033466407827102,,
French Lick Resort,Monthly,10,2019,2019-10,IN,none,,,,73745.0,,791706.0,,,,,,,,,,,,,,,0.09314695101464432,,
Hollywood Lawrenceburg,Monthly,10,2019,2019-10,IN,none,,,,843970.0,,6925496.0,,,,,,,,,,,,,,,0.12186419571970007,,
Tropicana Evansville,Monthly,10,2019,2019-10,IN,none,,,,324200.0,,1962816.0,,,,,,,,,,,,,,,0.16517085656526134,,
Harrah's Hoosier Park,Monthly,10,2019,2019-10,IN,none,,,,240511.0,,1767993.0,,,,,,,,,,,,,,,0.13603617208891663,,
Indiana Grand,Monthly,10,2019,2019-10,IN,none,,,,206266.0,,1575797.0,,,,,,,,,,,,,,,0.1308963019982904,,
Ameristar Casino,Monthly,4,2020,2020-04,IN,none,,,,0.0,,0.0,,,,,,,,,,,,,,,,,
Blue Chip Casino,Monthly,4,2020,2020-04,IN,none,,,,0.0,,0.0,,,,,,,,,,,,,,,,,
Horseshoe Hammond,Monthly,4,2020,2020-04,IN,none,,,,0.0,,0.0,,,,,,,,,,,,,,,,,
Belterra Casino,Monthly,4,2020,2020-04,IN,none,,,,0.0,,0.0,,,,,,,,,,,,,,,,,
Caesars Southern Indiana,Monthly,4,2020,2020-04,IN,none,,,,0.0,,0.0,,,,,,,,,,,,,,,,,
French Lick Resort,Monthly,4,2020,2020-04,IN,none,,,,-442.0,,0.0,,,,,,,,,,,,,,,,,
Hollywood Lawrenceburg,Monthly,4,2020,2020-04,IN,none,,,,0.0,,0.0,,,,,,,,,,,,,,,,,
Rising Star Casino,Monthly,4,2020,2020-04,IN,none,,,,0.0,,0.0,,,,,,,,,,,,,,,,,
Tropicana Evansville,Monthly,4,2020,2020-04,IN,none,,,,0.0,,0.0,,,,,,,,,,,,,,,,,
Harrah's Hoosier Park,Monthly,4,2020,2020-04,IN,none,,,,0.0,,0.0,,,,,,,,,,,,,,,,,
Indiana Grand,Monthly,4,2020,2020-04,IN,none,,,,0.0,,0.0,,,,,,,,,,,,,,,,,
Ameristar Casino,Monthly,8,2020,2020-08,IN,none,,,,638795.0,,4945512.0,,,,,,,,,,,,,,,0.1291666060056067,,
Blue Chip Casino,Monthly,8,2020,2020-08,IN,none,,,,101285.0,,693859.0,,,,,,,,,,,,,,,0.1459734614669551,,
Horseshoe Hammond,Monthly,8,2020,2020-08,IN,none,,,,191765.0,,2687106.0,,,,,,,,,,,,,,,0.07136488102813957,,
Belterra Casino,Monthly,8,2020,2020-08,IN,none,,,,109273.0,,516306.0,,,,,,,,,,,,,,,0.2116438701080367,,
Caesars Southern Indiana,Monthly,8,2020,2020-08,IN,none,,,,-6409.0,,1590272.0,,,,,,,,,,,,,,,-0.004030128179330328,,
French Lick Resort,Monthly,8,2020,2020-08,IN,none,,,,16161.0,,101880.0,,,,,,,,,,,,,,,0.15862779740871613,,
Hollywood Lawrenceburg,Monthly,8,2020,2020-08,IN,none,,,,854022.0,,6937176.0,,,,,,,,,,,,,,,0.12310801974751685,,
Rising Star Casino,Monthly,8,2020,2020-08,IN,none,,,,9761.0,,50079.0,,,,,,,,,,,,,,,0.1949120389784141,,
Tropicana Evansville,Monthly,8,2020,2020-08,IN,none,,,,94407.0,,1517254.0,,,,,,,,,,,,,,,0.06222227787832492,,
Harrah's Hoosier Park,Monthly,8,2020,2020-08,IN,none,,,,81300.0,,559031.0,,,,,,,,,,,,,,,0.1454302176444598,,
Indiana Grand,Monthly,8,2020,2020-08,IN,none,,,,88569.0,,564551.0,,,,,,,,,,,,,,,0.15688396619614525,,
Ameristar Casino,Monthly,1,2020,2020-01,IN,none,,,,1438143.0,,7043817.0,,,,,,,,,,,,,,,0.2041709771846713,,
Blue Chip Casino,Monthly,1,2020,2020-01,IN,none,,,,279868.0,,2692197.0,,,,,,,,,,,,,,,0.10395524547423536,,
Horseshoe Hammond,Monthly,1,2020,2020-01,IN,none,,,,1803809.0,,13705355.0,,,,,,,,,,,,,,,0.1316134459851642,,
Belterra Casino,Monthly,1,2020,2020-01,IN,none,,,,8077.0,,934724.0,,,,,,,,,,,,,,,0.0086410534018598,,
Caesars Southern Indiana,Monthly,1,2020,2020-01,IN,none,,,,143966.0,,2395735.0,,,,,,,,,,,,,,,0.06009262293200208,,
French Lick Resort,Monthly,1,2020,2020-01,IN,none,,,,14132.0,,533634.0,,,,,,,,,,,,,,,0.0264825704509083,,
Hollywood Lawrenceburg,Monthly,1,2020,2020-01,IN,none,,,,578993.0,,7736943.0,,,,,,,,,,,,,,,0.07483485402438664,,
Rising Star Casino,Monthly,1,2020,2020-01,IN,none,,,,-40497.0,,213552.0,,,,,,,,,,,,,,,-0.18963531130591144,,
